tmin	tmax	tmean	rain	hr
20.8	35.0	29.4	0.0	56.0
21.2	36.8	30.8	0.0	49.0
22.2	37.8	31.5	0.0	53.0
24.8	37.1	32.2	0.0	55.0
23.8	33.8	29.3	0.0	64.0
23.3	37.3	31.2	0.0	60.0
24.2	37.3	31.4	66.0	57.0
21.3	33.3	26.9	0.2	77.0
23.6	34.6	28.7	0.8	75.0
18.8	33.5	25.0	42.0	92.0
17.8	27.0	22.2	0.0	74.0
16.5	29.3	24.3	0.0	63.0
18.9	32.4	27.0	0.0	48.0
18.3	33.6	27.7	0.0	55.0
20.0	33.6	28.3	0.2	57.0
21.0	33.8	28.1	5.0	63.0
21.2	31.8	27.5	0.0	70.0
22.5	31.5	27.4	0.6	75.0
22.0	26.2	23.7	10.0	90.0
21.2	29.8	26.0	0.2	70.0
22.2	31.2	27.5	0.0	72.0
22.5	33.4	29.0	24.0	70.0
20.7	29.2	24.3	2.0	85.0
21.0	33.7	28.7	7.0	66.0
22.0	32.6	27.8	0.0	66.0
22.1	35.2	29.6	0.0	64.0
23.0	37.8	31.2	0.0	59.0
22.2	34.8	28.6	31.0	68.0
20.8	27.0	23.6	3.0	80.0
20.6	29.5	26.1	0.0	74.0
24.2	34.2	29.7	5.0	71.0
22.4	29.5	25.1	15.0	91.0
22.6	31.0	27.3	14.0	79.0
22.0	27.0	24.4	0.7	86.0
22.0	30.3	26.0	3.0	79.0
22.8	30.2	26.8	16.0	77.0
22.6	33.2	28.2	0.0	76.0
22.5	34.8	30.1	0.0	68.0
23.6	35.7	30.7	0.0	71.0
25.2	36.4	31.4	0.0	64.0
23.4	35.6	29.8	18.0	68.0
21.6	33.4	28.4	19.0	70.0
22.1	27.9	23.3	6.0	94.0
19.0	28.6	24.8	6.0	72.0
21.1	30.4	26.0	0.2	82.0
22.8	32.0	27.8	13.4	70.0
20.7	29.4	24.8	7.0	81.0
21.3	25.0	23.0	7.0	89.0
19.8	26.7	23.1	0.1	86.0
19.8	33.0	27.3	0.0	67.0
21.4	33.0	28.4	0.0	59.0
19.7	33.0	27.9	0.0	62.0
21.2	33.2	27.5	0.0	70.0
20.8	32.5	27.6	0.0	77.0
21.3	32.8	28.4	0.0	72.0
22.3	31.8	26.0	1.0	86.0
21.2	31.4	26.8	7.0	77.0
20.4	32.2	27.9	10.0	73.0
22.8	34.8	29.4	0.0	65.0
21.3	34.8	29.1	0.0	68.0
21.6	35.0	29.8	0.0	59.0
21.4	34.2	28.9	0.0	68.0
22.8	34.2	29.4	0.0	67.0
23.4	33.4	28.8	0.2	73.0
24.0	32.0	27.4	45.0	72.0
21.5	29.6	25.6	0.0	81.0
22.8	33.0	28.2	0.0	78.0
23.0	34.6	29.5	0.0	70.0
23.0	35.3	30.0	0.0	70.0
23.8	35.5	30.2	0.0	66.0
23.8	33.6	28.9	0.0	73.0
22.0	35.2	28.9	100.5	64.0
21.0	32.6	27.3	0.0	77.0
20.6	32.8	28.4	3.0	67.0
22.5	29.4	25.4	5.0	86.0
21.8	33.8	28.6	0.0	64.0
22.2	34.2	28.9	0.0	71.0
23.4	28.0	24.9	0.1	78.0
21.8	28.0	25.2	0.0	83.0
23.6	30.4	26.9	0.0	82.0
23.5	29.2	25.9	9.0	80.0
16.4	24.0	18.4	1.0	91.0
15.3	21.4	18.9	0.0	80.0
16.2	22.6	19.3	0.0	80.0
16.7	25.6	22.2	0.0	68.0
18.0	28.0	22.9	0.0	72.0
17.0	29.1	23.6	0.0	70.0
14.9	29.2	23.0	0.0	70.0
19.5	28.8	24.3	0.0	64.0
19.4	29.4	24.5	0.0	64.0
20.2	31.0	26.3	0.0	66.0
20.5	30.4	25.9	3.0	79.0
21.8	27.0	24.2	82.0	90.0
21.9	30.8	25.9	4.0	85.0
17.9	25.0	19.0	18.0	95.0
17.0	21.3	19.5	0.0	81.0
17.0	24.2	20.5	0.0	72.0
18.3	23.0	20.3	2.0	89.0
19.2	27.8	23.6	0.0	73.0
17.8	28.4	23.8	2.0	75.0
21.0	28.4	23.8	0.0	89.0
22.9	30.2	27.0	0.0	82.0
22.0	33.6	28.3	0.0	78.0
21.6	32.9	27.9	0.0	67.0
22.6	28.0	24.6	0.0	81.0
21.0	28.8	25.2	0.0	80.0
20.6	31.6	26.4	0.0	77.0
18.6	31.0	25.3	0.0	77.0
22.0	31.8	26.6	0.0	76.0
22.2	27.6	24.6	0.2	73.0
19.6	24.3	21.7	0.0	77.0
16.8	26.0	22.0	0.0	68.0
17.0	28.6	23.7	5.0	67.0
12.8	27.0	14.8	0.0	84.0
13.6	21.6	17.3	0.0	65.0
